,node_id,community,Betweenness,Out-degree,In-degree,Clustering,Type
1101971737263120384,2880711,A,9859786883.933952,13663.0,18.0,5.6306509025897394e-05,Other
31577674,17482390,E,0.0,13621.0,0.0,0.0011370708464628425,Other
2499057403,3594722,A,14612970281.856398,13618.0,13.0,2.9269393884216747e-05,Other
1936383199,9894193,A,4423660522.220572,13598.0,2.0,1.622202816150582e-05,Other
2504949828,15561328,A,0.0,13545.0,0.0,4.721240606762424e-05,Other
790962816207429632,16379243,A,9611099248.851131,13527.0,3.0,3.596674504898868e-05,Other
380349722,18527092,A,0.0,13525.0,0.0,0.0001569328432585826,Other
16298441,11931304,A,0.0,13522.0,0.0,0.0001118411897526987,Other
3296376716,17810644,A,11767227960.524836,13513.0,1.0,0.0001124299360058303,Other
3044769382,14246407,A,3774791491.8797164,13511.0,5.0,5.196101769471237e-05,Other
1109525689416540161,4396088,A,20930374665.81898,13509.0,68.0,0.00016483509971648255,Other
4367813116,4436931,A,28906760724.25408,13490.0,8.0,1.3617026594222726e-05,Other
2881310587,16757481,A,0.0,13486.0,0.0,9.183239490194386e-06,Other
1150380430669045760,6232748,A,0.0,13484.0,0.0,7.5097025523119735e-06,Other
57885560,3464745,E,21697340212.355194,13469.0,102.0,0.0008708375893924882,Other
1048532848834015233,2742875,A,0.0,13453.0,0.0,0.0002746716263789303,Other
1038906616198909952,2348430,A,0.0,13451.0,0.0,8.246023314635713e-06,Other
253283939,3760379,A,7547947842.540723,13444.0,33.0,0.0003059405171026322,Other
1137120655315333120,5891809,A,9497415323.320354,13425.0,2.0,2.219543972495411e-05,Other
1220891024777760768,8313473,A,0.0,13421.0,0.0,8.280998125490716e-05,Other
77500023,6753230,A,16745885366.225636,13407.0,19.0,0.00011569556045457173,Other
1081765278,633910,A,49234913618.51677,13385.0,437.0,0.0006938218351259602,Other
1088170802871058432,4388947,A,14445199918.025846,13379.0,11.0,5.093795991974972e-05,Other
421830737,4076171,A,32587863873.44986,13373.0,51.0,0.00013758927831259527,Other
266490475,3401739,A,3336008782.5412836,13370.0,36.0,0.0002484502562969583,Other
105800313,3109765,E,16206803233.986858,13369.0,5.0,3.292624460587173e-05,Other
1236726040707416065,8655924,A,0.0,13368.0,0.0,9.036343810621177e-06,Other
1104547601880436736,4974426,A,3167131612.873424,13332.0,5.0,4.661153581953624e-05,Other
142839300,10367645,A,0.0,13326.0,0.0,4.5896053658651865e-06,Other
1096440478797418496,2148997,A,22389921790.73776,13321.0,22.0,4.712116492801997e-05,Other
1918240236,13422841,A,14644744649.535511,13318.0,2.0,4.447052177782401e-06,Other
1030074062930882562,2052056,A,3790215916.2952523,13287.0,7.0,0.00019332779742997356,Other
373157754,556805,A,36028625527.643524,13272.0,404.0,0.00022974663898106814,Other
1091208498,4509274,A,0.0,13243.0,0.0,2.29023591142427e-05,Other
33636586,508278,A,32511644790.311344,13239.0,167.0,0.0005083032041579721,Other
1000520634710003712,103125,A,51567988292.33932,13195.0,424.0,0.0008370464809987423,Other
1159723783420358656,1288221,E,25595764415.13916,13186.0,10.0,1.352770786436942e-05,Other
398662273,18727161,A,0.0,13182.0,0.0,0.00027306568499797156,Other
1041412071772979200,2447242,A,23490279422.202675,13179.0,107.0,0.00020439743424796863,Other
98121293,941958,A,29139020270.352345,13174.0,123.0,0.0002754845180634372,Other
24400524,600483,E,19716013746.73684,13134.0,190.0,0.0007258763635163351,Other
54604582,7658845,A,8240933504.187275,13123.0,4.0,3.322225136719729e-05,Other
768119701,15507835,A,9712199349.59129,13115.0,6.0,1.57783687646987e-05,Other
178166536,2375123,A,27607415280.484383,13114.0,73.0,0.00014866984999974603,Other
1176170581353533440,7090020,E,8197384621.253815,13079.0,3.0,0.00012992007422841517,Other
1188210413919338496,1081442,A,8743687573.466085,13072.0,7.0,2.283814801196107e-05,Other
993532858730991617,21357848,A,1321974001.670691,13071.0,1.0,7.232391726293784e-05,Other
549595604,15500281,A,9808375776.668385,13070.0,1.0,2.7875453131302357e-05,Other
285948789,1623959,A,7764527351.813896,13051.0,61.0,0.00012721655625028198,Other
1205999464403464194,7755125,A,19453657947.93501,13049.0,14.0,1.7378867489563058e-05,Other
1030965184804872192,2108292,E,13874315908.79429,13047.0,8.0,2.3421812946679536e-05,Other
2562407766,3003380,E,21400619887.933975,13042.0,13.0,1.865537033970311e-05,Other
26253050,188801,A,21836173145.615524,13011.0,76.0,0.0003340161920842991,Other
62711456,10299278,A,5629340618.531823,13008.0,10.0,6.318151518564466e-05,Other
2373610615,6754447,E,18061101552.514187,12973.0,14.0,0.00031895455697792915,Other
870200479468441600,17557877,E,0.0,12972.0,1.0,2.1969347024592316e-05,Other
16656350,3162179,A,3604369758.5550203,12962.0,217.0,0.00019259880646676545,Other
57162282,20128617,A,0.0,12928.0,0.0,8.42861697470203e-05,Other
709294370155933697,8499518,A,15196374715.766325,12923.0,8.0,1.1580236425271643e-05,Other
256883252,15851689,A,0.0,12911.0,0.0,4.351752082922314e-05,Other
